doctrine_section,requirement_summary,implementation_location,enforcement_method,test_identifier,fixture_identifier,limitation_id,completion_status
"Layer 1 §1.1 / Layer 2 §1.1 / Layer 3 §1.1","Intake is implemented as a bounded feasibility gate, not an audit or merits workflow","src/intake/determination-router.js; src/intake/intake-manifest.js","determination routing and manifest scope controls","tests/determination-router.test.js; tests/context-profiles-manifest.test.js","D.1-D.8","","covered"
"Layer 1 §1.2 / Layer 2 §1.2 / Layer 3 §1.3","Prohibited intake modes are not exposed as valid intake outputs","src/intake/external-output-validator.js","forbidden language and purpose validator","tests/external-output-validator.test.js","D.13","","covered"
"Layer 1 §1.3-1.5 / Layer 2 §1.3-1.5 / Layer 3 §1.4","External output may express eligibility only and must not disclose internal execution depth","src/intake/external-output-validator.js","external-output release gate and forbidden disclosure checks","tests/external-output-validator.test.js","D.13","","covered"
"Layer 1 §1.4","Matter-level context disclosure is allowed only through locked context terms","src/intake/external-output-validator.js; src/intake/context-profiles.js","mandatory term check and context leakage check","tests/external-output-validator.test.js; tests/context-profiles-manifest.test.js","D.1-D.5","","covered"
"Layer 1 §1.5 / Layer 3 §3.5","Indirect signaling phrases are prohibited from external output","src/intake/external-output-validator.js","indirect signaling check plus reviewer flag surface","tests/external-output-validator.test.js","D.13","","covered"
"Layer 1 §2.1-2.2 / Layer 2 §2.1-2.2 / Layer 3 §2.1","Implemented AFDM behavior is treated as source of truth for runtime artifacts","delivery_artifacts/intake/implementation_inventory.md; src/intake/*","implementation inventory and file presence audit","tests/context-profiles-manifest.test.js","D.1-D.13","","covered"
"Layer 1 §2.3 / Layer 2 §2.3 / Layer 3 §2.3","Internal intake records must not contain evaluative fields or outcome-leaning metadata","src/intake/run-record.js; src/intake/intake-manifest.js","schema construction and record field allowlist","tests/run-record-sequencing.test.js; tests/context-profiles-manifest.test.js","D.1-D.13","","covered"
"Layer 1 §2.4-2.5 / Layer 2 §2.4-2.5 / Layer 3 §2.4-2.5","Internal categories and terminology must avoid compliance, liability, finding, violation, and assessment framing","src/intake/run-record.js; src/intake/external-output-validator.js","record field discipline and forbidden-language checks","tests/run-record-sequencing.test.js; tests/external-output-validator.test.js","D.13","","covered"
"Layer 1 §2.7-2.10 / Layer 2 §2.7-2.9 / Layer 3 §2.2, §2.6","Doctrine/implementation drift must be surfaced, not patched through improvised labels or fields","delivery_artifacts/intake/limitations_appendix_f.md; delivery_artifacts/intake/audit/blocker_register.json","Appendix F limitation disclosure and blocker register","tests/context-profiles-manifest.test.js","D.1-D.13","LIM-003; LIM-004; LIM-005","covered_with_open_limitations"
"Layer 1 §3.1 / Layer 2 §3.1 / Layer 3 §3.3","Mechanical neutrality is required in intake language","src/intake/external-output-validator.js","forbidden framing and external output validation","tests/external-output-validator.test.js","D.13","","covered"
"Layer 1 §3.2 / Layer 2 §3.2 / Layer 3 §3.1","Banned external terms and functional equivalents are prohibited","src/intake/external-output-validator.js","forbidden language validator and reviewer flag surface","tests/external-output-validator.test.js","D.13","","covered"
"Layer 1 §3.3-3.4 / Layer 2 §3.3-3.4","Blame/adversarial posture is prohibited","src/intake/external-output-validator.js","forbidden framing checks","tests/external-output-validator.test.js","D.13","","covered"
"Layer 1 §3.5 / Layer 2 §3.5 / Layer 3 §3.2","Mandatory scope and context terms must be exact when scope/context is described externally","src/intake/external-output-validator.js","mandatory-term validation","tests/external-output-validator.test.js","D.1-D.5","","covered"
"Layer 1 §3.6A / Layer 2 §3.6A / Layer 3 §7.5","Missing bounded target must be Insufficiently specified, not Constrained","src/intake/rununit-builder.js; src/intake/run-record.js; src/intake/determination-router.js","boundedness derivation and outcome validation","tests/determination-router.test.js; tests/appendix-d-fixtures.test.js","D.6; D.14 scaffold","LIM-004","covered_with_open_preflight_limitation"
"Layer 1 §3.6B / Layer 2 §3.6B / Layer 3 §6.10","Bounded narrowing may come only from complaint or demand materials provided","src/intake/complaint-normalizer.js; src/intake/rununit-builder.js","anchor normalization and bounded target derivation discipline","tests/complaint-normalizer.test.js","D.1-D.8; D.15 scaffold","LIM-004","covered_with_open_preflight_limitation"
"Layer 1 §3.6C / Layer 2 §6.9 / Layer 3 §6.9","One insufficiently specified run unit must not freeze other bounded run units","src/intake/sequencing.js; src/intake/sufficiency-stop.js","sequencing and stop logic permits bounded units to proceed","tests/appendix-d-fixtures.test.js","D.15 scaffold","LIM-004","partial_scaffolded"
"Layer 1 §3.6D-E / Layer 2 §7.4 / Layer 3 §7.4A-B","BOTMITIGATION requires prevention of a meaningful bounded attempt, not marker presence alone","src/intake/run-record.js; src/intake/determination-router.js; src/intake/browser-challenge.js","constraint class validation and blocker evidence fields","tests/appendix-d-fixtures.test.js","D.7; D.16 scaffold; D.17 scaffold","LIM-004","covered_with_open_preflight_limitation"
"Layer 1 §4.1 / Layer 2 §4.1-4.2 / Layer 3 §4.1-4.2","Exactly one of eight locked determination templates is permitted","src/intake/template-validator.js; src/intake/determination-router.js","template spec validator and routing","tests/intake-template-validator.test.js; tests/determination-router.test.js","D.1-D.8","","covered"
"Layer 1 §4.2 / Layer 3 §4.3","Determination line must not reveal closeness, selections, observed/not observed results, or cap status","src/intake/external-output-validator.js","forbidden disclosure and leakage checks","tests/external-output-validator.test.js","D.13","","covered"
"Layer 1 §4.3 / Layer 2 §4.4 / Layer 3 §4.5-4.6","Peer-baseline eligibility and constrained-baseline templates must route correctly","src/intake/determination-router.js; src/intake/context-profiles.js","routing conditions and context scope checks","tests/determination-router.test.js; tests/context-profiles-manifest.test.js","D.1-D.5","","covered"
"Layer 1 §4.6 / Layer 2 §4.5 / Layer 3 §4.7","Constraint-driven ineligibility must use BOTMITIGATION or OTHER constraint templates, not generic ineligibility","src/intake/determination-router.js","constraint-template routing","tests/determination-router.test.js","D.7-D.8","","covered"
"Layer 1 §5.1 / Layer 2 §5.1 / Layer 3 §5.1","Maximum of 10 intake runs per matter","src/intake/sufficiency-stop.js; src/intake/sequencing.js","run cap and sequence generation","tests/sufficiency-stop.test.js; tests/run-record-sequencing.test.js","D.2; D.6-D.8","","covered"
"Layer 1 §5.2 / Layer 2 §5.2 / Layer 3 §5.2","One run equals one controlled attempt of one asserted condition under one context","src/intake/run-record.js; src/intake/sequencing.js","run record construction and sequence mapping","tests/run-record-sequencing.test.js","D.1-D.8","","covered"
"Layer 1 §5.3 / Layer 2 §5.3 / Layer 3 §5.3","Only Observed as asserted and Not observed as asserted qualify as confirmations","src/intake/sufficiency-stop.js","qualifying confirmation evaluator","tests/sufficiency-stop.test.js","D.1-D.8","","covered"
"Layer 1 §5.4 / Layer 2 §5.4 / Layer 3 §5.4","Sufficiency requires two qualifying confirmations from distinct runs","src/intake/sufficiency-stop.js","sufficiency evaluator","tests/sufficiency-stop.test.js","D.1-D.5","","covered"
"Layer 1 §5.5-5.7 / Layer 2 §5.5-5.7 / Layer 3 §5.5-5.7","Stop immediately at sufficiency or run cap and do not resume without new scope","src/intake/sufficiency-stop.js","stop basis and append guard","tests/sufficiency-stop.test.js","D.1-D.8","","covered"
"Layer 1 §5.8 / Layer 3 §5.8","Constrained and insufficient runs consume run-cap slots but do not qualify as confirmations","src/intake/sufficiency-stop.js","run cap accounting","tests/sufficiency-stop.test.js","D.6-D.8","","covered"
"Layer 1 §6.1-6.3 / Layer 2 §6.1-6.3 / Layer 3 §6.1-6.2","Complaint structure is preserved through locked complaint group anchors","src/intake/complaint-normalizer.js","anchor normalization","tests/complaint-normalizer.test.js","D.1-D.8","","covered"
"Layer 1 §6.4-6.8 / Layer 2 §6.4-6.8 / Layer 3 §6.3-6.6","Distinct asserted conditions become distinct run units with no blended execution","src/intake/rununit-builder.js","run-unit splitting and atomicity validation","tests/complaint-normalizer.test.js","D.1-D.8","","covered"
"Layer 1 §6.10 / Layer 3 §6.7","Run-unit normalization precedes execution","src/intake/rununit-builder.js; src/intake/intake-manifest.js","normalization before manifest/run creation","tests/context-profiles-manifest.test.js","D.1-D.8","","covered"
"Layer 1 §6.11 / Layer 3 §6.8","Unexecuted run units may remain in the manifest and are not an error condition","src/intake/intake-manifest.js; src/intake/sufficiency-stop.js","manifest reference preservation","tests/context-profiles-manifest.test.js","D.2; D.15 scaffold","LIM-004","covered_with_scaffolded_edge_case"
"Layer 1 §6.12 / Layer 2 §6.9 / Layer 3 §6.9","Mixed boundedness must preserve bounded execution for sufficiently bounded run units","src/intake/sequencing.js; src/intake/sufficiency-stop.js","bounded execution preservation under sequencing/stop logic","tests/appendix-d-fixtures.test.js","D.15 scaffold","LIM-004","partial_scaffolded"
"Layer 1 §6.13 / Layer 2 §6.10 / Layer 3 §6.10","Target URL/page/element hints may be derived only from submitted materials","src/intake/rununit-builder.js","bounded target derivation checks","tests/complaint-normalizer.test.js","D.1-D.8","LIM-004","covered_with_open_preflight_limitation"
"Layer 1 §7.1 / Layer 2 §7.1 / Layer 3 §7.1","Only four locked outcome labels are permitted","src/intake/enums.js; src/intake/run-record.js","enum validation","tests/run-record-sequencing.test.js","D.1-D.13","","covered"
"Layer 1 §7.2 / Layer 2 §7.2 / Layer 3 §7.2","Observed as asserted has the locked meaning","src/intake/run-record.js; src/intake/sufficiency-stop.js","outcome construction and confirmation logic","tests/run-record-sequencing.test.js; tests/sufficiency-stop.test.js","D.1-D.5","","covered"
"Layer 1 §7.3 / Layer 2 §7.3 / Layer 3 §7.3","Not observed as asserted has the locked meaning","src/intake/run-record.js; src/intake/sufficiency-stop.js","outcome construction and confirmation logic","tests/run-record-sequencing.test.js; tests/sufficiency-stop.test.js","D.1-D.5","","covered"
"Layer 1 §7.4 / Layer 2 §7.4 / Layer 3 §7.4","Constrained requires bounded target, technical blocker, prevention of meaningful attempt, and locked constraint class","src/intake/run-record.js; src/intake/browser-challenge.js; src/intake/determination-router.js","constraint validation and routing","tests/determination-router.test.js; tests/appendix-d-fixtures.test.js","D.3; D.5; D.7-D.8; D.16-D.17 scaffold","LIM-004","covered_with_open_preflight_limitation"
"Layer 1 §7.5 / Layer 2 §7.5 / Layer 3 §7.5","Insufficiently specified is for missing bounded specification, not missing implementation coverage","src/intake/rununit-builder.js; tools/run-playwright-intake.js","boundedness classification exists; unsupported probe coverage still requires hardening","tests/appendix-d-fixtures.test.js","D.6; D.14 scaffold","LIM-004","partial_runtime_gap"
"Layer 1 §7.6-7.7 / Layer 2 §7.6-7.7 / Layer 3 §7.6","Each run has exactly one locked outcome label","src/intake/run-record.js","run record validator","tests/run-record-sequencing.test.js","D.1-D.13","","covered"
"Layer 1 §8.1 / Layer 2 §8.1 / Layer 3 §8.1","Desktop and Mobile are fixed parameter locks, not approximations","src/intake/context-profiles.js","locked context profile export","tests/context-profiles-manifest.test.js","D.1-D.5","","covered"
"Layer 1 §8.2 / Layer 2 §8.2 / Layer 3 §8.2","Desktop baseline is 1366 x 900, zoom 100%, DPR 1, landscape, non-mobile, no touch","src/intake/context-profiles.js","context profile constants and tests","tests/context-profiles-manifest.test.js","D.1-D.5","","covered"
"Layer 1 §8.3 / Layer 2 §8.3 / Layer 3 §8.3","Mobile baseline is 393 x 852, zoom 100%, DPR 1, portrait, mobile, touch","src/intake/context-profiles.js","context profile constants and tests","tests/context-profiles-manifest.test.js","D.1-D.5","","covered"
"Layer 1 §8.4 / Layer 2 §8.4 / Layer 3 §8.4","Generic accessibility allegations bring both Desktop and Mobile into scope unless expressly cabined","src/intake/rununit-builder.js; src/intake/determination-router.js","context scope and template routing","tests/determination-router.test.js; tests/context-profiles-manifest.test.js","D.1-D.5","","covered"
"Layer 1 §8.5-8.8 / Layer 2 §8.5-8.8 / Layer 3 §8.5-8.8","Reflow methods remain separate and do not alter Desktop/Mobile baselines","src/intake/context-profiles.js","reflow profile isolation from baseline profiles","tests/context-profiles-manifest.test.js","D.1-D.5","","covered"
"Layer 1 §9.1-9.2 / Layer 2 §9.1-9.2 / Layer 3 §9.1","Notes are permitted only under locked gates","src/intake/mechanical-note-rule.js","note permission validation","tests/mechanical-note-isolation.test.js","D.9-D.10","","covered"
"Layer 1 §9.3 / Layer 2 §9.3 / Layer 3 §9.2","Notes are prohibited for observed/not observed runs and sufficiency/run-order explanations","src/intake/mechanical-note-rule.js","note prohibition validator","tests/mechanical-note-isolation.test.js","D.10","","covered"
"Layer 1 §9.4-9.5 / Layer 2 §9.4-9.5 / Layer 3 §9.3-9.4","Permitted notes must be exactly one mechanical sentence with no legal/evaluative/blame/speculation language","src/intake/mechanical-note-rule.js","mechanical sentence and content checks","tests/mechanical-note-isolation.test.js","D.9-D.10","","covered"
"Layer 1 §9.6 / Layer 2 §9.6 / Layer 3 §9.5-9.6","Constraint class enum is AUTHWALL, BOTMITIGATION, GEOBLOCK, HARDCRASH, NAVIMPEDIMENT only","src/intake/enums.js; src/intake/run-record.js","enum validation","tests/run-record-sequencing.test.js","D.3; D.5; D.7-D.8","","covered"
"Layer 1 §9.7 / Layer 2 §9.7 / Layer 3 §9.7","Unmapped blockers must not be labeled Constrained","src/intake/run-record.js; src/intake/determination-router.js","constraint-class validation","tests/determination-router.test.js","D.8","LIM-004","covered_with_open_preflight_limitation"
"Layer 1 §9.8 / Layer 3 §9.8","Note basis enum is locked and no additional note basis values are permitted","src/intake/mechanical-note-rule.js; src/intake/enums.js","note basis enum validation","tests/mechanical-note-isolation.test.js","D.9-D.10","","covered"
"Layer 1 §10.1 / Layer 2 §10.1 / Layer 3 §10.1-10.2","When both baselines are in scope, runs alternate Desktop/Mobile until stop","src/intake/sequencing.js","sequence builder","tests/run-record-sequencing.test.js","D.2-D.3; D.5; D.11","","covered"
"Layer 1 §10.2-10.3 / Layer 2 §10.2-10.3 / Layer 3 §10.3-10.4","Each run uses fresh isolated browser context and state persistence failures are classified","src/intake/state-isolation.js","state isolation record/classifier","tests/mechanical-note-isolation.test.js","D.12","","covered"
"Layer 1 §10.4-10.5 / Layer 2 §10.4-10.5 / Layer 3 §10.5-10.6","Run timing metadata is internal only and must not surface externally","src/intake/run-record.js; src/intake/external-output-validator.js","internal run record fields and external leakage gate","tests/run-record-sequencing.test.js; tests/external-output-validator.test.js","D.13","","covered"
"Layer 3 Appendix A1","IntakeRunRecord required fields and constraints are enforced","src/intake/run-record.js","record constructor and validator","tests/run-record-sequencing.test.js","D.1-D.13","","covered"
"Layer 3 Appendix A2","ComplaintGroupAnchorRecord required fields and locked anchor types are enforced","src/intake/complaint-normalizer.js","anchor record builder","tests/complaint-normalizer.test.js","D.1-D.13","","covered"
"Layer 3 Appendix A3","RunUnitRecord required fields, context scope booleans, and created_context_basis are enforced","src/intake/rununit-builder.js","run unit builder and scope assignment","tests/complaint-normalizer.test.js; tests/context-profiles-manifest.test.js","D.1-D.13","LIM-004","covered_with_open_preflight_limitation"
"Layer 3 Appendix A4","IntakeDeterminationRecord required fields and matter-level note gate are enforced","src/intake/determination-router.js; src/intake/template-validator.js","determination construction and template validation","tests/determination-router.test.js; tests/intake-template-validator.test.js","D.1-D.8","","covered"
"Layer 3 Appendix A5","IntakeManifestRecord resolves runs, run units, anchors, determination, and internal metadata","src/intake/intake-manifest.js","manifest reference resolution","tests/context-profiles-manifest.test.js","D.1-D.13","","covered"
"Layer 3 Appendix A6","MechanicalNoteRuleRecord fields and note permission basis are enforced","src/intake/mechanical-note-rule.js","note rule record construction","tests/mechanical-note-isolation.test.js","D.9-D.10","","covered"
"Layer 3 Appendix A7","ContextProfileRecord values match locked Desktop, Mobile, and reflow baselines","src/intake/context-profiles.js","context profile constants and validation","tests/context-profiles-manifest.test.js","D.1-D.5","","covered"
